% Model:              simple_interferometer_with_waveguides_for_nn.mph
% Version:            COMSOL 6.0.0.405
% Date:               Apr 11 2023, 14:16
% Dimension:          1
% Nodes:              1694
% Expressions:        49
% Description:        Line graph
% Arc length (m)          (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2            (emw.normE)^2
3.6472361411675133E-4     10407.623009950561       194493.72769557888       8066.341345110375        2808.3627738060704       247.29325450932595       4497917.214566876        332666.431129148         2779104.0505076116       19.564454023887937       21516.165897103972       2.443965080260062E7      215237.91124716625       107661.71816729681       228392.75622218856       35153.56780093405        1029070.4325045688       3904923.0861302437       207684.23167055243       3741053.0985570224       1470614.698522404        2.8474442261831492E7     1390535.682996402        2412292.7717666337       248034.30924753097       1034631.2244252823       4581.193100884506        219195.65147337422       185289.5268406174        614297.2959512487        23337.088197721598       2692933.5293350383       3309616.3675607084       32011.669163504044       615802.5914514583        5321414.434977477        1.7575127637078688E7     1643.6003277973284       1137438.1625894073       337801.15102452214       661117.6408130456        4269842.312654652        25851.86839837153        110476.29427918688       992862.234463823         12869.658899215272       13149.794041153915       436543.4544180785        432547.3411033813        4063133.775584718
4.3765372275370376E-4     13017.557739508484       221179.78915646687       6423.091773111694        4267.122694770442        556.0806758265753        4454299.218617814        346989.644274892         2811640.5245524426       205.54413643368028       21872.71635927614        2.4850531266549446E7     226341.82462903735       121789.52708100039       251374.28937539842       42563.59369347809        1080083.193912814        4184519.9634357365       215390.2030601631        3781137.114059842        1496671.144774625        2.876801249799885E7      1444410.4456033744       2457138.8013970433       262920.1396017875        1068694.8159821487       6369.8208268769295       215352.2632036823        187684.53996719385       675711.5016932571        20906.702941526084       2782469.7539654206       3420391.714685263        38116.529573064836       653082.2536595035        5572713.832554952        1.8373520047938224E7     2547.8036641492195       1144517.87658102         357374.39716888126       690449.7029120945        4409402.582344686        27325.116398482845       111923.9805932388        1025999.5711797152       15556.98913078108        16865.255686485394       461448.37510396424       471478.216819021         4256013.513166633
4.37668336940103E-4       13018.098580950742       221184.5896602725        6422.730552333521        4267.452945769969        556.1808208317067        4454272.748796528        346991.2038450377        2811637.4910014225       205.6180661095555        21872.709756385466       2.485052473982605E7      226343.10389024322       121792.10776994623       251378.0405390034        42565.022708030694       1080089.4944933024       4184560.9849868314       215390.77836587012       3781129.612090937        1496669.2620451748       2.876796339261137E7      1444415.6401663935       2457136.587753414        262922.3323396659        1068697.5099088692       6370.211041643904        215350.30380845768       187684.12343865627       675722.1168881336        20906.08058662381        2782476.611644311        3420399.813725773        38117.695735848014       653087.3386514619        5572742.903780121        1.8373611931652218E7     2547.9999064609733       1144513.7061479327       357376.9941874213        690453.0039363978        4409412.088847531        27325.326199658768       111923.70439711951       1026001.59501326         15557.541075724008       16866.00956386692        461451.6025275714        471484.64444274997       4256036.506811706
4.376829511265057E-4      13018.640252035339       221189.39361048795       6422.370120650676        4267.784699670218        556.2819646971147        4454245.061892227        346992.764069705         2811634.0942604155       205.6925250674873        21872.7028664304         2.4850512127156574E7     226344.34828977153       121794.70663525313       251381.77366732547       42566.44707181352        1080095.6142334845       4184602.8861458697       215391.31322875625       3781121.446582887        1496667.0802197321       2.8767908027068377E7     1444420.505416397        2457133.9874496707       262924.52314885205       1068700.087181305        6370.602770933537        215348.2895355788        187683.67458831726       675732.7063713474        20905.45461022186        2782483.1194951884       3420407.371967896        38118.859395213585       653092.3161230076        5572771.390316657        1.8373701586205095E7     2548.1961700110987       1144509.2841589192       357379.5688837673        690456.2155120665        4409420.894148058        27325.53468881662        111923.39357377705       1026003.4723987784       15558.094044895623       16866.760297326644       461454.7923807977        471491.0698923718        4256059.038807688
5.106130597634546E-4      15675.86285776184        241307.483685223         4604.864233164417        6051.611149538842        1277.8463670515073       4245706.603596629        348331.55873395427       2755115.162687031        789.3194716558162        21452.014076496765       2.43934427287416E7       227343.1748644979        133050.0456764152        264749.0436867097        48943.88527588279        1090534.5496914128       4313449.730607434        212884.1526238977        3670837.148854982        1452004.295245026        2.8017718943616502E7     1440782.6126430659       2390308.428569867        269805.2360580631        1061549.1934276556       8400.482040964456        199868.29019886328       180993.43920423233       717855.2155787243        17290.44077238387        2760488.318917271        3388033.6452705883       43285.1206924713         665372.2684724417        5605154.65479767         1.8471153348453898E7     3543.54440426598         1097104.3831106194       362999.44284628774       693507.6506324222        4361410.70195477         27878.984962719816       107594.65725674649       1012150.4585610501       18254.357748644397       20433.398341685825       468111.0686597449        495523.5698141061        4288517.668150245
5.835431684003897E-4      18091.904613272636       253063.18158791048       2917.3856614377705       8022.543338927024        2486.5900961924913       3930720.2328795902       338267.9408772553        2638522.284221723        1845.2341873048229       20329.973291788374       2.327308411972855E7      217803.55398523423       140863.6461958755        267002.72778372496       53303.0796588934         1063305.6371517144       4294054.337205431        200047.96357746562       3442189.00917586         1346138.776194291        2.647178944261744E7      1385235.2812402588       2225023.256667583        269450.805250286         1018674.9291410337       10485.76566481061        174642.0255599933        165851.69669305708       737788.0213707339        12979.154891914417       2638877.3850119025       3225369.827977824        46763.104057474375       653737.7600576059        5430326.447139315        1.7908032309389893E7     4462.661124766184        1005750.4888275488       354474.1852437427        672535.9990174646        4141829.9031103863       27456.864610243854       97994.98210307308        954456.3767440731        20694.87602824965        23318.49118603076        457073.66929378017       503690.5607454765        4171547.2453879504
5.835577825867959E-4      18092.348300004072       253064.65383264655       2917.074241446594        8022.947076460658        2486.8837045377068       3930651.780479738        338264.97881965904       2638495.549726358        1845.4958480581763       20329.68632266467        2.327281556852087E7      217800.6410490295        140864.86217710635       267002.04848106875       53303.70434932961        1063297.01999777         4294036.448825592        200044.42900314063       3442134.6643908974       1346112.6432676571       2.64714257671457E7       1385219.9428871034       2224981.9832798243       269450.13498341857       1018663.4686695129       10486.176896965482       174636.18440590688       165847.92055287657       737789.8289485535        12978.255456360219       2638844.7370831133       3225326.235444128        46763.59761463254        653733.3821120105        5430273.320528326        1.7907862221568476E7     4462.82633307216         1005728.9292116454       354471.1543836614        672529.7977507926        4141771.3353333045       27456.68520251249        97992.61618880877        954441.0113020382        20695.325254439875       23318.97500934953        457069.89308306936       503690.6991204031        4171511.005334242
5.83572396773202E-4       18092.792458056138       253066.12892587407       2916.7640094509793       8023.352542048514        2487.1796687593105       3930582.33951975         338262.0309492824        2638468.5635341485       1845.7590773331667       20329.39908384094        2.327254175706763E7      217797.69193555892       140866.10005022908       267001.34637401137       53304.31894559794        1063288.251436754        4294019.4703772          200040.85380356183       3442079.7399906428       1346086.2472712842       2.6471056603971336E7     1385204.326631515        2224940.3305565882       269449.47465305764       1018651.9268839513       10486.58977018453        174630.29676997784       165844.11425961694       737791.6145857195        12977.352964010532       2638811.7365355385       3225282.111531693        46764.08497557421        653728.9192001689        5430219.625100821        1.7907689879606757E7     4462.991319568599        1005707.1722886289       354468.10227942007       672523.5292122117        4141712.049219176        27456.50441516646        97990.2184948074         954425.5083437521        20695.775299461995       23319.454872668382       457066.0860381027        503690.8416371972        4171474.3230176824
6.565025054101475E-4      20000.723766208586       256460.83934948215       1590.8273671899087       9994.331152071232        4179.961815517889        3603526.2694201735       321394.69745883165       2511090.521510726        3373.2128090931556       18690.098527017402       2.1898003781847373E7     199400.8919512895        145652.40796944758       258662.15226030082       54971.445710929154       1011493.2432890564       4163279.7806793987       178802.3027838633        3159709.265091041        1204182.949589968        2.4611514590123504E7     1298113.9579237327       1997638.7151037117       264796.48786773434       955092.1648257881        12415.664147272963       143450.64219913082       144673.29037353257       738045.6654479228        8598.753112932603        2453723.831788179        2976127.6346716606       48087.12812341657        626030.8720788315        5109894.008880571        1.6884903430728406E7     5139.962664761192        893260.9381196293        334537.88760989095       636634.7120597743        3806685.7213309617       26171.988953404994       84909.12543856636        866522.2166732424        22649.918368361363       25165.325653163327       433678.9184950365        499184.22540366073       3953699.4911861653
7.29432614047093E-4       21210.742720371043       253472.66991567562       726.7297318153014        11763.932531282582       6265.890332319293        3370291.976703618        304346.7059548271        2429322.22830172         5282.984711723903        16775.117209534117       2.0778068236740235E7     175625.42396229244       148767.28577634896       242318.98248420891       53781.48771552171        955566.221894499         3986049.9266023296       152754.53009529389       2905058.3925489974       1061837.8832537625       2.3032244794828366E7     1210324.175992636        1759811.8443503068       260281.0591581315        891992.2997619413        13994.099427785219       111152.65483266268       121179.62428130851       726038.8082229027        4776.419449891807        2256811.920291386        2705063.5440400154       47205.38904351745        595392.7863702055        4741910.703926905        1.5717091233695434E7     5486.495117696724        790030.9880745069        308256.03067466046       599964.7921152822        3439445.1622775155       24273.44948622059        71083.69804055007        769817.1935665701        23965.031895116044       25951.79255578767        407116.2743567298        488757.8884075426        3710076.1668991745
