% Model:              simple_interferometer _no_waveguide_for_nn.mph
% Version:            COMSOL 6.0.0.405
% Date:               Feb 14 2023, 13:18
% Dimension:          1
% Nodes:              1008
% Expressions:        1
% Description:        Line graph
% cln1x (m)               (emw.normE)^2
0                         6007.782267843514
7.283830926109805E-5      6302.95943876114
7.294482139721947E-5      6303.804362983459
7.305133353333743E-5      6304.6494354817
1.4588964279444241E-4     7211.003711575128
2.1872795205553006E-4     8676.41413595384
2.1883446419165495E-4     8678.881868518318
2.189409763277729E-4      8681.354701162822
2.917792855888744E-4      10547.863777968854
3.6461759484996553E-4     12576.46254225673
3.647241069860904E-4      12579.447746544873
3.648306191222049E-4      12582.434304914375
4.376689283833064E-4      14494.278641547375
5.105072376444114E-4      16020.58589303241
5.106137497805224E-4      16022.49515949285
5.107202619166334E-4      16024.390857616783
5.835585711777419E-4      16943.715177636146
6.563968804388469E-4      17128.03215113478
6.565033925749579E-4      17127.795168991644
6.566099047110759E-4      17127.52631269343
7.294482139721774E-4      16542.34818328116
8.022865232332893E-4      15266.771825266866
8.023930353694003E-4      15264.466517649098
8.024995475055148E-4      15262.119392735634
8.753378567666163E-4      13448.332644936083
9.481761660277283E-4      11313.138842751321
9.482826781638393E-4      11309.839699072954
9.483891902999537E-4      11306.501932904403
0.0010212274995610622     9075.797270740584
0.0010940658088221672     6962.483268738778
0.0010941723209582782     6959.512627276612
0.0010942788330943858     6956.513941319707
0.0011671171423555012     5122.470619269801
0.0012399554516165992     3663.4430536744044
0.001240061963752724      3661.5903501858625
0.001240168475888849      3659.7180444200344
0.00131300678514994       2601.5094284357633
0.0013858450944110243     1904.8398456694629
0.00138595160654717       1904.0682114808926
0.0013860581186833157     1903.2790302359228
0.0014588964279443964     1487.3885464952027
0.0015317347372054285     1251.8821406538166
0.0015318412493416297     1251.6446476253436
0.001531947761477838      1251.3884927073398
0.0016047860707388527     1105.0843544970226
0.0016776243799997773     987.6001189058172
0.001677730892136093      987.4440751424089
0.001677837404272419      987.2708339855636
0.0017506757135333263     881.2523543967425
0.0018235140227940115     815.2235776935597
0.0018236205349305805     815.1820345046087
0.0018237270470671495     815.1303963510793
0.001896565356327807      851.4558823052026
0.0019694036655880237     1067.0952086414193
0.0019695101777250784     1067.5688465489527
0.001969616689862133      1068.0446801778735
0.0020424549991223083     1529.7926911088252
0.0021152933083816126     2269.925232023122
0.002115399820519625      2271.189340731227
0.0021155063326576337     2272.470852166843
0.0021883446419169        3273.75394493529
0.0022611829511744834     4463.805495381931
0.002261289463314265      4465.599496077801
0.002261395975454057      4467.425485107804
0.0023342342847115123     5728.669166230765
0.002407072593965588      6919.955070715926
0.0024071791061089434     6921.552272844265
0.0024072856182523056     6923.190520989799
